@relation test

@attribute type {A,T,J,P}
@attribute no-of-word numeric
@attribute length numeric
@attribute initials {0,1}
@attribute key-journal {0,1}
@attribute key-proceeding {0,1}
@attribute key-ieee {0,1}
@attribute key-symposium {0,1}
@attribute key-workshop {0,1}
@attribute key-meeting {0,1}
@attribute key-conference {0,1}
@attribute key-transaction {0,1}
@attribute key-ordinal {0,1}
@attribute preposition {0,1}
@attribute longest-word numeric
@attribute colon-in-title {0,1}
@attribute ordinal {0,1}

@data
A,2,15,0,0,0,0,0,0,0,0,0,0,0,8,0,0
A,2,12,0,0,0,0,0,0,0,0,0,0,0,7,0,0
T,7,47,0,0,0,0,0,0,0,0,0,0,1,11,0,0
J,2,24,0,0,0,0,0,0,0,0,0,0,0,13,0,0
A,2,7,1,0,0,0,0,0,0,0,0,0,0,4,0,0
A,2,6,1,0,0,0,0,0,0,0,0,0,0,3,0,0
A,2,10,1,0,0,0,0,0,0,0,0,0,0,6,0,0
T,15,99,0,0,0,0,0,0,0,0,0,0,1,13,0,0
J,1,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0
T,7,73,0,0,0,0,0,0,0,0,0,0,1,13,0,0
J,2,16,0,1,0,0,0,0,0,0,0,0,0,8,0,0
A,2,12,1,0,0,0,0,0,0,0,0,0,0,7,0,0
T,2,13,0,0,0,0,0,0,0,0,0,0,0,8,0,0
J,5,36,0,1,0,0,0,0,0,0,0,0,1,11,0,0
A,2,13,0,0,0,0,0,0,0,0,0,0,0,8,0,0
A,2,11,0,0,0,0,0,0,0,0,0,0,0,6,0,0
T,8,61,0,0,0,0,0,0,0,0,0,0,1,12,0,0
J,8,61,0,0,0,0,0,0,0,0,0,0,1,12,0,0
A,2,12,0,0,0,0,0,0,0,0,0,0,0,7,0,0
T,14,102,0,0,0,0,0,0,0,0,0,0,1,12,0,0
J,1,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0
T,16,127,0,0,0,0,0,0,0,0,0,0,1,13,0,0
P,6,49,0,0,0,0,0,0,0,1,0,0,0,13,0,0
T,12,71,0,0,0,0,0,0,0,0,0,0,1,10,0,0
J,6,46,0,0,0,0,0,0,0,0,0,0,0,10,0,0
A,2,5,1,0,0,0,0,0,0,0,0,0,0,3,0,0
A,2,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0
A,2,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0
A,2,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0
A,2,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0
A,2,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0
T,11,92,0,0,0,0,0,0,0,0,0,0,0,15,1,0
J,1,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0
A,2,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0
A,2,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0
T,5,49,0,0,0,0,0,0,0,0,0,0,0,14,0,0
A,2,11,0,0,0,0,0,0,0,0,0,0,0,5,0,0
A,2,12,0,0,0,0,0,0,0,0,0,0,0,6,0,0
A,2,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0
A,2,11,0,0,0,0,0,0,0,0,0,0,0,6,0,0
A,3,13,0,0,0,0,0,0,0,0,0,0,0,7,0,0
T,7,34,0,0,0,0,0,0,0,0,0,0,0,7,1,0
J,1,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0
A,2,7,1,0,0,0,0,0,0,0,0,0,0,4,0,0
A,2,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0
T,10,75,0,0,0,0,0,0,0,0,0,0,0,13,0,0
J,2,19,0,0,0,0,0,0,0,0,0,0,0,11,0,0
T,7,57,0,0,0,0,0,0,0,0,0,0,1,12,0,0
A,2,7,1,0,0,0,0,0,0,0,0,0,0,4,0,0
A,2,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0
A,3,10,1,0,0,0,0,0,0,0,0,0,0,4,0,0
A,2,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0
J,5,39,0,0,0,0,0,0,0,0,0,0,0,12,0,0
T,2,26,0,0,0,0,0,0,0,0,0,0,0,15,0,0
A,3,10,1,0,0,0,0,0,0,0,0,0,0,4,0,0
A,2,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0
A,3,10,1,0,0,0,0,0,0,0,0,0,0,4,0,0
A,2,11,1,0,0,0,0,0,0,0,0,0,0,8,0,0
J,7,50,0,0,0,0,0,0,0,0,0,0,1,12,0,0
A,2,11,0,0,0,0,0,0,0,0,0,0,0,8,0,0
A,2,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0
A,3,19,0,0,0,0,0,0,0,0,0,0,0,9,0,0
T,11,84,0,0,0,0,0,0,0,0,0,0,1,11,0,0
J,2,11,0,0,0,0,0,0,0,0,0,0,0,8,0,0
A,2,7,1,0,0,0,0,0,0,0,0,0,0,4,0,0
T,8,57,0,0,0,0,0,0,0,0,0,0,1,11,0,0
J,5,48,0,1,0,0,0,0,0,0,0,0,0,13,0,0
T,7,57,0,0,0,0,0,0,0,0,0,0,0,15,0,0
A,3,13,0,0,0,0,0,0,0,0,0,0,0,6,0,0
A,3,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0
A,3,13,0,0,0,0,0,0,0,0,0,0,0,5,0,0
