@relation test

@attribute no-of-word numeric
@attribute length numeric
@attribute initials {0,1}
@attribute type {A,T,JC}
@attribute keyword {0,1}
@attribute preposition {0,1}
@attribute longest-word numeric
@attribute colon-in-title {0,1}

@data
2,15,0,A,0,0,8,0
2,12,0,A,0,0,7,0
7,47,0,T,0,1,11,0
2,24,0,JC,0,0,13,0
2,15,0,A,0,0,8,0
2,25,0,A,0,0,16,0
2,10,0,A,0,0,6,0
4,39,0,T,0,1,16,0
13,85,0,JC,1,1,11,0
2,7,1,A,0,0,4,0
2,6,1,A,0,0,3,0
2,10,1,A,0,0,6,0
15,99,0,T,0,1,13,0
1,12,0,JC,0,0,12,0
2,6,1,A,0,0,3,0
7,73,0,T,0,1,13,0
3,20,0,JC,1,0,8,0
2,6,1,A,0,0,3,0
2,12,1,A,0,0,7,0
2,13,0,T,0,0,8,0
5,36,0,JC,1,1,11,0
2,13,0,A,0,0,8,0
2,11,0,A,0,0,6,0
8,61,0,T,0,1,12,0
8,61,0,JC,1,1,12,0
2,12,0,A,0,0,7,0
2,11,0,A,0,0,6,0
14,102,0,T,0,1,12,0
1,7,0,JC,0,0,7,0
2,12,0,A,0,0,7,0
2,11,0,A,0,0,6,0
16,127,0,T,0,1,13,0
8,64,0,JC,1,1,13,0
2,11,0,A,0,0,6,0
12,71,0,T,0,1,10,0
6,46,0,JC,0,0,10,0
2,5,1,A,0,0,3,0
2,4,1,A,0,0,2,0
2,5,1,A,0,0,2,0
2,7,1,A,0,0,4,0
2,7,1,A,0,0,4,0
2,8,1,A,0,0,5,0
11,92,0,T,0,1,15,1
1,14,0,JC,0,0,14,0
7,59,0,T,0,1,12,0
2,7,1,A,0,0,4,0
2,5,1,A,0,0,2,0
3,10,1,A,0,0,4,0
2,5,1,A,0,0,2,0
5,39,0,JC,1,0,12,0
13,83,0,T,0,1,12,1
2,8,1,A,0,0,5,0
3,12,1,A,0,0,6,0
2,10,1,A,0,0,7,0
2,8,1,A,0,0,5,0
4,32,0,JC,0,0,10,0
3,11,0,A,0,0,4,0
3,13,0,A,0,0,4,0
3,11,0,A,0,0,4,0
2,12,0,A,0,0,7,0
11,85,0,T,0,1,12,0
4,31,0,JC,1,1,12,0
3,11,1,A,0,0,5,0
12,88,0,T,0,1,13,0
2,24,0,JC,0,0,12,0
3,13,0,A,0,0,4,0
